rundate,this_period,last_period,group_name,airport_1_name,airport_2_name,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent
23/12/2016 09:40,201610,201510,Other Reporting Airports,EDINBURGH,EAST MIDLANDS INTERNATIONAL,8487,8487,0,8377,8377,0,1.31312
23/12/2016 09:40,201610,201510,Other Reporting Airports,EDINBURGH,EXETER,4082,4082,0,3930,3930,0,3.86768
23/12/2016 09:40,201610,201510,Other Reporting Airports,EDINBURGH,GATWICK,61994,61994,0,62773,62773,0,-1.24098
23/12/2016 09:40,201610,201510,Other Reporting Airports,EDINBURGH,HEATHROW,90842,90842,0,103512,103512,0,-12.24013
23/12/2016 09:40,201610,201510,Other Reporting Airports,EDINBURGH,KIRKWALL,4468,4468,0,4078,4078,0,9.56351
23/12/2016 09:40,201610,201510,Other Reporting Airports,EDINBURGH,LIVERPOOL (JOHN LENNON),1522,1522,0,319,319,0,377.11599
23/12/2016 09:40,201610,201510,Other Reporting Airports,EDINBURGH,LONDON CITY,43268,43268,0,52565,52565,0,-17.68667
23/12/2016 09:40,201610,201510,Other Reporting Airports,EDINBURGH,LUTON,25048,25048,0,25043,25043,0,0.01997
23/12/2016 09:40,201610,201510,Other Reporting Airports,EDINBURGH,MANCHESTER,8259,8259,0,9190,9190,0,-10.13058
23/12/2016 09:40,201610,201510,Other Reporting Airports,EDINBURGH,NORWICH,2151,2151,0,2632,2632,0,-18.27508
23/12/2016 09:40,201610,201510,Other Reporting Airports,EDINBURGH,SOUTHAMPTON,17419,17419,0,17624,17624,0,-1.16319
23/12/2016 09:40,201610,201510,Other Reporting Airports,EDINBURGH,STANSTED,75075,75075,0,58057,58057,0,29.31257
23/12/2016 09:40,201610,201510,Other Reporting Airports,EDINBURGH,STORNOWAY,2179,2179,0,1804,1804,0,20.78714
23/12/2016 09:40,201610,201510,Other Reporting Airports,EDINBURGH,SUMBURGH,4028,4028,0,4184,4184,0,-3.72849
23/12/2016 09:40,201610,201510,Other Reporting Airports,EDINBURGH,WICK JOHN O GROATS,1015,1015,0,935,935,0,8.55615
23/12/2016 09:40,201610,201510,Other Reporting Airports,EXETER,BELFAST CITY (GEORGE BEST),2963,2963,0,2916,2916,0,1.6118
23/12/2016 09:40,201610,201510,Other Reporting Airports,EXETER,CARDIFF WALES,72,72,0,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,EXETER,EDINBURGH,4177,4177,0,3980,3980,0,4.94975
23/12/2016 09:40,201610,201510,Other Reporting Airports,EXETER,GLASGOW,3311,3311,0,378,378,0,775.92593
23/12/2016 09:40,201610,201510,Other Reporting Airports,EXETER,GUERNSEY,2468,2468,0,2116,2116,0,16.63516
23/12/2016 09:40,201610,201510,Other Reporting Airports,EXETER,ISLES OF SCILLY (ST.MARYS),993,993,0,994,994,0,-0.1006
23/12/2016 09:40,201610,201510,Other Reporting Airports,EXETER,JERSEY,3897,3897,0,3812,3812,0,2.2298
23/12/2016 09:40,201610,201510,Other Reporting Airports,EXETER,LONDON CITY,2877,2877,0,4364,4364,0,-34.07424
23/12/2016 09:40,201610,201510,Other Reporting Airports,EXETER,MANCHESTER,10014,10014,0,10856,10856,0,-7.75608
23/12/2016 09:40,201610,201510,Other Reporting Airports,EXETER,NEWCASTLE,4026,4026,0,3234,3190,44,24.4898
23/12/2016 09:40,201610,201510,Other Reporting Airports,EXETER,NEWQUAY,0,0,0,45,45,0,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,EXETER,NORWICH,2640,2640,0,0,0,0,0
23/12/2016 09:40,201610,201510,London Area Airports,GATWICK,ABERDEEN,15082,15082,0,15448,15448,0,-2.36924
23/12/2016 09:40,201610,201510,London Area Airports,GATWICK,BELFAST CITY (GEORGE BEST),0,0,0,18604,18604,0,-100
23/12/2016 09:40,201610,201510,London Area Airports,GATWICK,BELFAST INTERNATIONAL,80868,80868,0,43827,43827,0,84.51639
23/12/2016 09:40,201610,201510,London Area Airports,GATWICK,BRISTOL,1,0,1,0,0,0,0
23/12/2016 09:40,201610,201510,London Area Airports,GATWICK,DONCASTER SHEFFIELD,37,0,37,0,0,0,0
23/12/2016 09:40,201610,201510,London Area Airports,GATWICK,DURHAM TEES VALLEY,0,0,0,40,0,40,-100
23/12/2016 09:40,201610,201510,London Area Airports,GATWICK,EAST MIDLANDS INTERNATIONAL,0,0,0,36,0,36,-100
23/12/2016 09:40,201610,201510,London Area Airports,GATWICK,EDINBURGH,61889,61889,0,62626,62626,0,-1.17683
23/12/2016 09:40,201610,201510,London Area Airports,GATWICK,GLASGOW,53264,53233,31,54978,54978,0,-3.11761
23/12/2016 09:40,201610,201510,London Area Airports,GATWICK,GUERNSEY,27451,27451,0,29388,29388,0,-6.59113
23/12/2016 09:40,201610,201510,London Area Airports,GATWICK,HEATHROW,3,0,3,0,0,0,0
23/12/2016 09:40,201610,201510,London Area Airports,GATWICK,HUMBERSIDE,42,0,42,0,0,0,0
23/12/2016 09:40,201610,201510,London Area Airports,GATWICK,INVERNESS,21040,21040,0,18635,18635,0,12.90582
23/12/2016 09:40,201610,201510,London Area Airports,GATWICK,ISLE OF MAN,14304,14304,0,13427,13427,0,6.53162
23/12/2016 09:40,201610,201510,London Area Airports,GATWICK,JERSEY,60156,60156,0,59724,59724,0,0.72333
23/12/2016 09:40,201610,201510,London Area Airports,GATWICK,LEEDS BRADFORD,0,0,0,73,0,73,-100
23/12/2016 09:40,201610,201510,London Area Airports,GATWICK,LIVERPOOL (JOHN LENNON),46,0,46,0,0,0,0
23/12/2016 09:40,201610,201510,London Area Airports,GATWICK,MANCHESTER,69,0,69,71,0,71,-2.8169
23/12/2016 09:40,201610,201510,London Area Airports,GATWICK,NEWCASTLE,1,0,1,0,0,0,0
23/12/2016 09:40,201610,201510,London Area Airports,GATWICK,NEWQUAY,13439,13439,0,10240,10240,0,31.24023
23/12/2016 09:40,201610,201510,Other Reporting Airports,GLASGOW,BARRA,1187,1187,0,810,810,0,46.54321
